period,interest_rate,inflation_yoy,growth_proxy_yoy
2005-03-31,2.63,3.156495615442493,4.084009642573173
2005-04-30,2.79,3.306520060862834,3.9282792693747086
2005-05-31,3.0,2.828894769119747,3.2984762513861705
2005-06-30,3.04,2.5092795905486294,4.5305130477514375
2005-07-31,3.26,3.0210630849103315,3.468978450563075
2005-08-31,3.5,3.5820076584522713,3.7272606132824135
2005-09-30,3.62,4.6328408046646254,1.6438593005124145
2005-10-31,3.78,4.258145205596446,2.000760967510052
2005-11-30,4.0,3.2840303652906395,2.87047708456022
2005-12-31,4.16,3.2840303652906395,2.5920223408897396
2006-01-31,4.29,3.9401361681988982,2.3906744493943486
2006-02-28,4.49,3.573631929613176,1.7095398611510442
2006-03-31,4.59,3.3608050987300735,2.0699693050874197
2006-04-30,4.79,3.550068538934228,2.1581576050322164
